Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
476,"[19.09, 72.89]",75,2,14022.4553,0.4684
477,"[19.1, 72.89]",123,6,20267.3518,0.5514
478,"[19.11, 72.89]",51,6,13278.9958,0.511
479,"[19.12, 72.89]",38,8,12035.7068,0.4925
480,"[19.13, 72.89]",24,3,8523.3945,0.4809
481,"[19.14, 72.89]",14,1,5338.3997,0.4745
482,"[19.15, 72.89]",8,0,4903.8876,0.3546
483,"[19.16, 72.89]",3,0,3585.9647,0.4341
484,"[19.17, 72.89]",0,0,214.6032,0.1913
485,"[19.18, 72.89]",0,0,0.0,0.0485
486,"[19.19, 72.89]",0,0,0.0,0.1334
487,"[19.2, 72.89]",1,0,835.0139,0.4105
488,"[19.21, 72.89]",0,0,981.6353,0.4536
489,"[19.22, 72.89]",0,0,171.6728,0.4715
490,"[19.23, 72.89]",0,0,0.0,0.1465
491,"[19.24, 72.89]",0,0,1458.5957,0.463
492,"[19.25, 72.89]",0,0,111.8309,0.3383
493,"[19.26, 72.89]",2,0,2137.9292,0.5118
494,"[18.89, 72.9]",18,0,2661.9738,0.3873
495,"[18.9, 72.9]",2,0,592.712,0.1944
496,"[18.91, 72.9]",0,0,457.4493,0.4298
497,"[18.92, 72.9]",0,0,0.0,0.2329
498,"[18.93, 72.9]",0,0,0.0,0.0
499,"[18.94, 72.9]",0,0,0.0,0.2252
500,"[18.95, 72.9]",2,0,1022.5433,0.5147
501,"[18.96, 72.9]",10,0,2155.6008,0.5167
502,"[18.97, 72.9]",0,0,0.0,0.1671
503,"[18.98, 72.9]",0,0,909.5795,0.3268
504,"[18.99, 72.9]",12,0,4837.3902,0.3343
505,"[19.0, 72.9]",24,3,10373.6069,0.4823
506,"[19.01, 72.9]",28,8,11813.4521,0.4984
507,"[19.02, 72.9]",13,0,6514.5787,0.2279
508,"[19.03, 72.9]",25,2,11989.8309,0.3003
509,"[19.04, 72.9]",41,3,13314.0203,0.5022
510,"[19.05, 72.9]",66,9,15303.9844,0.5579
511,"[19.06, 72.9]",93,7,21240.4803,0.486
512,"[19.07, 72.9]",91,28,20408.6103,0.6171
513,"[19.08, 72.9]",108,35,21794.9048,0.6228
514,"[19.09, 72.9]",60,5,14761.866,0.5679
515,"[19.1, 72.9]",36,2,9303.2946,0.2963
516,"[19.11, 72.9]",59,8,14577.4609,0.5133
517,"[19.12, 72.9]",8,2,3223.1809,0.2281
518,"[19.13, 72.9]",15,0,5037.9908,0.3732
519,"[19.14, 72.9]",0,0,0.0,0.277
520,"[19.15, 72.9]",0,0,0.0,0.0828
521,"[19.16, 72.9]",0,0,1831.8272,0.5456
522,"[19.17, 72.9]",0,0,1236.1887,0.1659
523,"[19.18, 72.9]",0,0,0.0,0.2882
524,"[19.19, 72.9]",0,0,997.6112,0.5069
525,"[19.2, 72.9]",12,1,3508.2919,0.3847
526,"[19.21, 72.9]",0,0,0.0,0.2472
527,"[19.22, 72.9]",0,0,0.0,0.08
528,"[19.23, 72.9]",0,0,0.0,0.1505
529,"[19.24, 72.9]",0,0,11.4142,0.4533
530,"[19.25, 72.9]",0,0,0.0,0.1079
531,"[19.26, 72.9]",0,0,0.0,0.2932
532,"[18.89, 72.91]",71,6,12111.1869,0.476
533,"[18.9, 72.91]",25,0,5303.0916,0.4385
534,"[18.91, 72.91]",0,0,447.0026,0.2969
535,"[18.92, 72.91]",0,0,0.0,0.3062
536,"[18.93, 72.91]",0,0,0.0,0.0
537,"[18.94, 72.91]",0,0,0.0,0.0563
538,"[18.95, 72.91]",0,0,0.0,0.1469
539,"[18.96, 72.91]",0,0,0.0,0.1274
540,"[18.97, 72.91]",0,0,0.0,0.1828
541,"[18.98, 72.91]",0,0,0.0,0.1546
542,"[18.99, 72.91]",0,0,457.7504,0.2106
543,"[19.0, 72.91]",2,0,2837.3956,0.3621
544,"[19.01, 72.91]",6,1,3212.2718,0.2815
545,"[19.02, 72.91]",0,0,1828.7419,0.316
546,"[19.03, 72.91]",6,0,2774.4723,0.2723
547,"[19.04, 72.91]",33,6,10974.4642,0.5451
548,"[19.05, 72.91]",80,26,21132.4887,0.5305
549,"[19.06, 72.91]",64,23,17115.5713,0.488
550,"[19.07, 72.91]",84,6,16897.307,0.4385
551,"[19.08, 72.91]",99,27,21308.4011,0.5449
552,"[19.09, 72.91]",80,15,17118.6326,0.5193
553,"[19.1, 72.91]",98,14,17134.7431,0.4798
554,"[19.11, 72.91]",69,14,15057.9058,0.4637
555,"[19.12, 72.91]",83,18,18493.0499,0.6141
556,"[19.13, 72.91]",52,12,14409.2211,0.51
557,"[19.14, 72.91]",3,0,3787.2252,0.3443
558,"[19.15, 72.91]",0,0,0.0,0.3144
559,"[19.16, 72.91]",2,0,1707.2297,0.3966
560,"[19.17, 72.91]",3,0,4168.8912,0.474
561,"[19.18, 72.91]",1,0,2346.3407,0.4073
562,"[19.19, 72.91]",0,0,659.6948,0.4161
563,"[19.2, 72.91]",0,0,0.0,0.0771
564,"[19.21, 72.91]",1,0,477.2628,0.5253
565,"[19.22, 72.91]",0,0,0.0,0.2439
566,"[19.23, 72.91]",0,0,0.0,0.1427
567,"[19.24, 72.91]",0,0,0.0,0.1783
568,"[19.25, 72.91]",0,0,0.0,0.1466
569,"[19.26, 72.91]",0,0,0.0,0.0
570,"[18.89, 72.92]",40,4,11859.28,0.3773
571,"[18.9, 72.92]",27,4,5016.9883,0.4129
572,"[18.91, 72.92]",6,0,1377.3784,0.4894
573,"[18.92, 72.92]",0,0,0.0,0.1643
574,"[18.93, 72.92]",0,0,0.0,0.0
575,"[18.94, 72.92]",0,0,0.0,0.1967
576,"[18.95, 72.92]",0,0,71.8483,0.2237
577,"[18.96, 72.92]",0,0,495.6863,0.3852
578,"[18.97, 72.92]",0,0,0.0,0.3974
579,"[18.98, 72.92]",0,0,0.0,0.0915
580,"[18.99, 72.92]",0,0,8.9222,0.4979
581,"[19.0, 72.92]",0,0,36.1599,0.1945
582,"[19.01, 72.92]",43,6,8250.4869,0.5899
583,"[19.02, 72.92]",2,1,2333.667,0.3198
584,"[19.03, 72.92]",33,9,11350.7582,0.5344
585,"[19.04, 72.92]",53,21,15785.7175,0.4798
586,"[19.05, 72.92]",78,32,19729.9709,0.5151
587,"[19.06, 72.92]",58,83,21099.5318,0.6218
588,"[19.07, 72.92]",15,1,3359.1647,0.1744
589,"[19.08, 72.92]",10,4,4181.5282,0.4616
590,"[19.09, 72.92]",22,4,12323.3885,0.4956
591,"[19.1, 72.92]",56,16,16339.3389,0.5329
592,"[19.11, 72.92]",39,5,11679.4862,0.3242
593,"[19.12, 72.92]",54,14,17023.4812,0.5033
594,"[19.13, 72.92]",76,20,13930.6581,0.5181
