Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
63,"[13.01, 80.19]",108,11,17068.3642,0.5639,Chennai,Rural,0.0,0.200146,0.529584,0.0
64,"[13.02, 80.19]",56,4,10221.5788,0.3539,Chennai,Rural,0.0,0.303871,0.696129,0.0
65,"[13.03, 80.19]",198,26,27006.7905,0.5985,Chennai,PeriUrban,0.362308,0.637692,0.0,3.0
66,"[13.04, 80.19]",189,19,26205.2689,0.5869,Chennai,Urban,0.543385,0.45661499999999994,0.0,3.0
67,"[13.05, 80.19]",180,33,27629.0302,0.6402,Chennai,Urban,0.9992700000000001,0.00073,0.0,5.0
68,"[13.06, 80.19]",120,20,21719.1888,0.5962,Chennai,Urban,0.5303140000000001,0.469686,0.0,3.0
69,"[13.07, 80.19]",104,19,21574.3432,0.4702,Chennai,PeriUrban,0.304602,0.695398,0.0,2.0
70,"[13.08, 80.19]",164,21,30046.793999999998,0.5503,Chennai,PeriUrban,0.100073,0.899927,0.0,2.0
71,"[13.09, 80.19]",163,19,25372.429,0.5658,Chennai,PeriUrban,0.0,1.0,0.0,1.0
72,"[13.1, 80.19]",97,11,17128.5859,0.4362,Chennai,PeriUrban,0.0,0.718773,0.281227,1.0
73,"[13.11, 80.19]",86,12,15324.36,0.4281,Chennai,Rejected,0.0,0.005113,0.325785,0.0
74,"[13.12, 80.19]",99,14,19469.663,0.4634,Chennai,Rejected,0.0,0.0,0.0,0.0
75,"[13.13, 80.19]",59,9,12610.5912,0.3602,Chennai,Rejected,0.0,0.0,0.0,0.0
76,"[12.95, 80.2]",117,21,24895.6173,0.5563,Chennai,Rural,0.0,0.343316,0.177502,0.0
77,"[12.96, 80.2]",158,40,26639.5607,0.6431,Chennai,Urban,0.525201,0.472608,0.0,3.0
78,"[12.97, 80.2]",151,42,26656.6966,0.5931,Chennai,PeriUrban,0.401023,0.5989770000000001,0.0,3.0
79,"[12.98, 80.2]",195,46,28608.8715,0.652,Chennai,PeriUrban,0.108839,0.890431,0.0,2.0
80,"[12.99, 80.2]",178,36,27520.1667,0.6346,Chennai,Urban,0.833455,0.14463099999999998,0.0,5.0
81,"[13.0, 80.2]",163,21,27383.3236,0.5726,Chennai,PeriUrban,0.42731899999999995,0.572681,0.0,3.0
82,"[13.01, 80.2]",149,24,23161.8827,0.6183,Chennai,PeriUrban,0.09788200000000001,0.88897,0.013147999999999998,2.0
83,"[13.02, 80.2]",151,21,23428.623,0.589,Chennai,PeriUrban,0.263696,0.699781,0.036523,2.0
84,"[13.03, 80.2]",154,35,24879.7128,0.6009,Chennai,PeriUrban,0.092038,0.8276110000000001,0.080351,2.0
85,"[13.04, 80.2]",188,26,27065.2114,0.5737,Chennai,PeriUrban,0.349218,0.640825,0.009956999999999999,3.0
86,"[13.05, 80.2]",169,22,25820.5908,0.6061,Chennai,Urban,0.9532510000000001,0.046749,0.0,5.0
87,"[13.06, 80.2]",118,22,21069.1294,0.3809,Chennai,PeriUrban,0.065011,0.934989,0.0,1.0
88,"[13.07, 80.2]",131,26,25491.5053,0.5434,Chennai,Urban,0.528853,0.47114700000000004,0.0,3.0
89,"[13.08, 80.2]",126,35,25483.9301,0.5592,Chennai,PeriUrban,0.0,0.9422940000000001,0.05770599999999999,2.0
90,"[13.09, 80.2]",121,22,18074.7849,0.5876,Chennai,PeriUrban,0.0,0.801315,0.198685,1.0
91,"[13.1, 80.2]",215,34,29714.8691,0.6685,Chennai,PeriUrban,0.41344,0.5865600000000001,0.0,3.0
92,"[13.11, 80.2]",136,22,22350.1132,0.6064,Chennai,Rejected,0.0,0.323594,0.154127,0.0
93,"[13.12, 80.2]",131,27,24161.7934,0.643,Chennai,Rejected,0.0,0.0,0.0,0.0
94,"[13.13, 80.2]",85,9,17032.619,0.5716,Chennai,Rejected,0.0,0.0,0.0,0.0
95,"[12.95, 80.21]",60,5,8646.0638,0.3929,Chennai,Rural,0.0,0.094229,0.43462399999999995,0.0
96,"[12.96, 80.21]",94,11,22648.73,0.5371,Chennai,PeriUrban,0.184806,0.610665,0.204529,1.0
97,"[12.97, 80.21]",204,30,29514.4875,0.5906,Chennai,Urban,0.7881670000000001,0.211833,0.0,5.0
98,"[12.98, 80.21]",176,18,25794.6456,0.5833,Chennai,PeriUrban,0.486486,0.513514,0.0,3.0
99,"[12.99, 80.21]",153,25,23157.7851,0.4465,Chennai,PeriUrban,0.248356,0.509861,0.24178200000000002,2.0
100,"[13.0, 80.21]",63,9,14434.5919,0.452,Chennai,Rural,0.0,0.319211,0.680789,0.0
101,"[13.01, 80.21]",109,11,16453.5176,0.5303,Chennai,Rural,0.006573999999999999,0.37910900000000003,0.614317,0.0
102,"[13.02, 80.21]",239,41,29302.9386,0.6406,Chennai,Urban,0.739226,0.260774,0.0,5.0
103,"[13.03, 80.21]",140,39,25504.3158,0.6664,Chennai,PeriUrban,0.089847,0.838568,0.071585,2.0
104,"[13.04, 80.21]",216,42,31114.9473,0.6556,Chennai,Urban,0.534139,0.46586099999999997,0.0,3.0
105,"[13.05, 80.21]",190,26,28628.2125,0.6602,Chennai,Urban,1.0,0.0,0.0,5.0
106,"[13.06, 80.21]",231,55,31728.9646,0.6214,Chennai,Urban,0.995617,0.004383,0.0,5.0
107,"[13.07, 80.21]",175,23,27099.7095,0.5626,Chennai,Urban,0.534697,0.46530299999999997,0.0,3.0
108,"[13.08, 80.21]",100,47,25961.2213,0.6345,Chennai,PeriUrban,0.0,0.976625,0.023375,2.0
109,"[13.09, 80.21]",119,34,21721.0389,0.5929,Chennai,Rural,0.0,0.10591700000000001,0.894083,0.0
110,"[13.1, 80.21]",129,13,18773.6822,0.5739,Chennai,PeriUrban,0.100073,0.6910149999999999,0.208912,1.0
111,"[13.11, 80.21]",133,44,27451.2961,0.6286,Chennai,Rejected,0.0,0.25200900000000004,0.039445,0.0
112,"[13.12, 80.21]",77,13,16331.3172,0.5772,Chennai,Rejected,0.0,0.0,0.0,0.0
113,"[13.13, 80.21]",77,7,14623.1093,0.5036,Chennai,Rejected,0.0,0.0,0.0,0.0
114,"[12.95, 80.22]",3,1,3626.6546,0.4864,Chennai,Rejected,0.0,0.0,0.059898,0.0
115,"[12.96, 80.22]",6,2,4806.6015,0.2423,Chennai,Rural,0.0,0.127831,0.723156,0.0
116,"[12.97, 80.22]",196,26,29075.8653,0.6096,Chennai,PeriUrban,0.41051899999999997,0.574142,0.015340000000000001,3.0
117,"[12.98, 80.22]",185,19,23920.1754,0.5879,Chennai,PeriUrban,0.09496,0.611395,0.293645,2.0
118,"[12.99, 80.22]",20,5,8849.0443,0.2938,Chennai,Rural,0.0,0.017531,0.982469,0.0
119,"[13.0, 80.22]",27,3,9617.5229,0.4702,Chennai,Rural,0.0,0.0,1.0,0.0
120,"[13.01, 80.22]",137,17,21608.3145,0.53,Chennai,PeriUrban,0.051863,0.46238100000000004,0.485756,1.0
121,"[13.02, 80.22]",204,40,30504.9868,0.561,Chennai,Urban,0.704164,0.27611399999999997,0.019722,3.0
122,"[13.03, 80.22]",195,29,26793.8572,0.5871,Chennai,Urban,1.0,0.0,0.0,5.0
123,"[13.04, 80.22]",134,34,25018.0539,0.6488,Chennai,Urban,0.544808,0.455192,0.0,3.0
124,"[13.05, 80.22]",180,41,28479.3792,0.6539,Chennai,PeriUrban,0.346969,0.653031,0.0,3.0
125,"[13.06, 80.22]",166,34,28458.2158,0.6186,Chennai,Urban,0.972973,0.027027,0.0,5.0
126,"[13.07, 80.22]",143,26,26630.4116,0.5734,Chennai,PeriUrban,0.391527,0.6084729999999999,0.0,3.0
127,"[13.08, 80.22]",125,46,25325.6441,0.6485,Chennai,PeriUrban,0.0,0.845873,0.154127,2.0
128,"[13.09, 80.22]",163,31,25813.5348,0.6233,Chennai,PeriUrban,0.138787,0.669832,0.191381,2.0
129,"[13.1, 80.22]",74,7,13465.3284,0.4234,Chennai,Rural,0.0,0.281227,0.718773,0.0
130,"[13.11, 80.22]",143,25,23664.7549,0.6857,Chennai,Rejected,0.0,0.14463099999999998,0.15924000000000002,0.0
131,"[13.12, 80.22]",133,23,22526.8535,0.6453,Chennai,Rejected,0.0,0.008034999999999999,0.018262,0.0
132,"[13.13, 80.22]",121,17,20435.7132,0.5924,Chennai,Rejected,0.0,0.0,0.0,0.0
133,"[12.95, 80.23]",103,14,17594.0572,0.5319,Chennai,Rejected,0.0,0.0,0.0,0.0
134,"[12.96, 80.23]",139,12,21136.9867,0.5868,Chennai,Rejected,0.0,0.0,0.335281,0.0
135,"[12.97, 80.23]",158,42,28032.4438,0.6149,Chennai,PeriUrban,0.0,0.831994,0.168006,2.0
136,"[12.98, 80.23]",212,40,27942.6597,0.5836,Chennai,Rural,0.0,0.47187700000000005,0.528123,0.0
137,"[12.99, 80.23]",88,10,14880.6771,0.4554,Chennai,Rural,0.0,0.0,1.0,0.0
138,"[13.0, 80.23]",95,10,17086.72,0.4997,Chennai,Rural,0.0,0.0,1.0,0.0
139,"[13.01, 80.23]",77,3,12886.442,0.3907,Chennai,Rural,0.0,0.0,1.0,0.0
140,"[13.02, 80.23]",81,14,17351.668,0.4341,Chennai,Rural,0.0029219999999999997,0.239591,0.757487,0.0
141,"[13.03, 80.23]",124,29,24899.2018,0.6748,Chennai,PeriUrban,0.288532,0.6785979999999999,0.032871,2.0
142,"[13.04, 80.23]",133,40,27264.077999999998,0.6525,Chennai,PeriUrban,0.061877999999999996,0.9381219999999999,0.0,2.0
143,"[13.05, 80.23]",159,20,26656.5681,0.5327,Chennai,PeriUrban,0.0,0.964938,0.035062,1.0
144,"[13.06, 80.23]",136,21,21820.9757,0.4537,Chennai,Rural,0.008766,0.419284,0.57195,0.0
145,"[13.07, 80.23]",94,17,17832.5355,0.5622,Chennai,PeriUrban,0.0,0.6793279999999999,0.32067199999999996,1.0
146,"[13.08, 80.23]",121,24,19762.9705,0.5854,Chennai,Rural,0.0,0.454346,0.545654,0.0
147,"[13.09, 80.23]",143,21,21482.0348,0.6394,Chennai,PeriUrban,0.31701999999999997,0.604821,0.078159,2.0
148,"[13.1, 80.23]",68,12,12254.5167,0.4644,Chennai,PeriUrban,0.0,0.629657,0.370343,1.0
149,"[13.11, 80.23]",177,35,27225.1446,0.6622,Chennai,Urban,0.520088,0.47333800000000004,0.0,3.0
150,"[13.12, 80.23]",113,29,19620.4717,0.5532,Chennai,PeriUrban,0.002191,0.525201,0.379839,1.0
151,"[13.13, 80.23]",59,7,13039.1587,0.4742,Chennai,Rejected,0.0,0.009956999999999999,0.081081,0.0
152,"[12.95, 80.24]",101,24,22539.0955,0.5051,Chennai,Rejected,0.0,0.080351,0.020453,0.0
153,"[12.96, 80.24]",157,25,26215.6604,0.5895,Chennai,PeriUrban,0.26954,0.561724,0.159971,2.0
154,"[12.97, 80.24]",137,32,24352.7036,0.5207,Chennai,PeriUrban,0.258583,0.720964,0.020453,2.0
155,"[12.98, 80.24]",143,25,23656.9209,0.5311,Chennai,PeriUrban,0.0,0.574872,0.42512799999999995,1.0
156,"[12.99, 80.24]",114,14,20806.2802,0.4053,Chennai,Rural,0.0,0.04821,0.9517899999999999,0.0
157,"[13.0, 80.24]",89,14,20543.6079,0.5207,Chennai,Rural,0.0,0.0,1.0,0.0
158,"[13.01, 80.24]",111,16,19051.6224,0.5399,Chennai,Rural,0.0,0.076698,0.9233020000000001,0.0
159,"[13.02, 80.24]",85,28,18651.7129,0.5447,Chennai,Rural,0.0,0.0,1.0,0.0
160,"[13.03, 80.24]",131,15,22221.4338,0.5575,Chennai,PeriUrban,0.0,0.82542,0.17457999999999999,1.0
161,"[13.04, 80.24]",124,20,22733.2548,0.612,Chennai,PeriUrban,0.0,1.0,0.0,1.0
162,"[13.05, 80.24]",132,28,23137.2167,0.6261,Chennai,PeriUrban,0.0,1.0,0.0,2.0
163,"[13.06, 80.24]",102,10,18412.2797,0.5851,Chennai,Rural,0.0,0.23447800000000002,0.765522,0.0
164,"[13.07, 80.24]",184,32,27397.388,0.4726,Chennai,PeriUrban,0.0,0.9035790000000001,0.096421,1.0
165,"[13.08, 80.24]",105,14,19555.8258,0.6056,Chennai,PeriUrban,0.0,0.756757,0.243243,1.0
166,"[13.09, 80.24]",104,14,18137.0532,0.5931,Chennai,PeriUrban,0.021183,0.9656680000000001,0.013147999999999998,1.0
167,"[13.1, 80.24]",155,36,27177.3933,0.544,Chennai,PeriUrban,0.042367,0.796932,0.160701,2.0
168,"[13.11, 80.24]",158,33,25259.5743,0.6711,Chennai,Urban,0.8845870000000001,0.11541300000000002,0.0,5.0
169,"[13.12, 80.24]",121,20,22250.0128,0.6364,Chennai,PeriUrban,0.12856099999999998,0.747991,0.0,2.0
